customer_id,region,acquisition_channel,application_date,verification_status,activation_status,activated_date,age_band,product_type,monthly_transactions,monthly_spend,fraud_flag,fraud_amount,complaint_flag,login_days_30,retention_risk
CUST00113,South,Mobile App,2025-11-17,Verified,Activated,2025-11-20,46-60,Savings Account,28,4821.54,0,0.0,0,28,Medium
CUST00114,Midwest,Mobile App,2025-08-05,Verified,Not Activated,,36-45,Credit Card,2,106.24,0,0.0,0,4,Medium
CUST00115,West,Mobile App,2025-11-18,Verified,Activated,2025-11-26,46-60,Savings Account,15,3481.62,0,0.0,0,18,Low
CUST00116,Northeast,Website,2025-10-16,Verified,Activated,2025-10-23,26-35,Checking Account,14,574.37,0,0.0,0,15,Medium
CUST00117,Northeast,Branch Referral,2025-06-01,Verified,Activated,2025-06-11,36-45,Credit Card,10,2719.54,0,0.0,0,8,Low
CUST00118,Midwest,Partner Network,2025-03-16,Verified,Activated,2025-03-24,60+,Savings Account,8,4190.07,0,0.0,0,9,High
CUST00119,Midwest,Website,2025-11-15,Verified,Activated,2025-11-21,60+,Savings Account,15,4825.43,0,0.0,0,14,Medium
CUST00120,West,Paid Media,2025-07-17,Verified,Activated,2025-07-26,18-25,Credit Card,11,4504.72,0,0.0,0,19,Low
CUST00121,Midwest,Website,2025-06-16,Verified,Not Activated,,18-25,Checking Account,1,111.52,0,0.0,0,0,Medium
CUST00122,Northeast,Partner Network,2025-01-13,Dropped,Not Activated,,36-45,Savings Account,0,12.28,0,0.0,0,1,Medium
CUST00123,West,Website,2025-02-24,Verified,Activated,2025-03-02,26-35,Checking Account,19,4749.33,0,0.0,0,27,Low
CUST00124,West,Website,2025-05-29,Verified,Activated,2025-06-03,36-45,Credit Card,5,3396.98,0,0.0,0,22,Medium
CUST00125,West,Mobile App,2025-11-26,Verified,Activated,2025-11-28,36-45,Savings Account,28,4974.59,0,0.0,0,17,Low
CUST00126,South,Mobile App,2025-12-22,Dropped,Not Activated,,18-25,Checking Account,0,224.19,0,0.0,0,6,High
CUST00127,South,Website,2025-10-28,Verified,Activated,2025-11-02,46-60,Checking Account,19,3392.09,0,0.0,0,21,Medium
CUST00128,South,Paid Media,2025-06-05,Verified,Activated,2025-06-09,26-35,Checking Account,5,3171.44,0,0.0,0,24,Low
CUST00129,West,Mobile App,2025-04-10,Verified,Not Activated,,26-35,Savings Account,2,177.04,0,0.0,0,6,High
CUST00130,Northeast,Website,2025-10-20,Verified,Activated,2025-10-22,36-45,Savings Account,12,3932.83,0,0.0,0,18,Low
CUST00131,Northeast,Website,2025-06-10,Verified,Activated,2025-06-19,26-35,Savings Account,27,1637.85,0,0.0,0,24,Low
CUST00132,Midwest,Mobile App,2025-09-13,Verified,Activated,2025-09-17,60+,Credit Card,0,4994.27,0,0.0,0,27,High
CUST00133,Midwest,Mobile App,2025-07-04,Verified,Activated,2025-07-12,26-35,Savings Account,13,2805.6,0,0.0,0,20,Low
CUST00134,West,Partner Network,2025-03-13,Verified,Activated,2025-03-21,46-60,Credit Card,22,3070.87,0,0.0,0,13,Low
CUST00135,Northeast,Mobile App,2025-08-13,Verified,Not Activated,,60+,Savings Account,1,170.33,0,0.0,0,1,Medium
CUST00136,West,Mobile App,2025-10-24,Verified,Activated,2025-10-28,46-60,Checking Account,28,1396.53,0,0.0,0,23,Medium
CUST00137,South,Website,2025-04-03,Verified,Activated,2025-04-07,26-35,Credit Card,29,289.36,0,0.0,0,24,Low
CUST00138,Midwest,Paid Media,2025-10-23,Verified,Activated,2025-10-28,26-35,Checking Account,14,4322.89,0,0.0,0,10,Low
CUST00139,Midwest,Partner Network,2025-12-25,Verified,Activated,2025-12-30,46-60,Savings Account,14,1082.76,0,0.0,0,13,Medium
CUST00140,West,Paid Media,2025-04-16,Verified,Activated,2025-04-17,26-35,Savings Account,28,2070.03,0,0.0,0,21,Low
CUST00141,Northeast,Branch Referral,2025-05-26,Dropped,Not Activated,,26-35,Credit Card,0,56.92,0,0.0,0,6,Medium
CUST00142,South,Mobile App,2025-02-06,Verified,Activated,2025-02-13,60+,Credit Card,1,2684.54,0,0.0,0,27,High
CUST00143,Northeast,Mobile App,2025-08-15,Verified,Activated,2025-08-18,36-45,Checking Account,24,4574.45,0,0.0,0,25,Medium
CUST00144,Northeast,Paid Media,2025-04-03,Dropped,Not Activated,,46-60,Credit Card,2,88.01,0,0.0,0,0,Low
CUST00145,Midwest,Paid Media,2025-12-27,Verified,Not Activated,,46-60,Savings Account,1,75.33,0,0.0,0,7,High
CUST00146,West,Mobile App,2025-04-18,Verified,Activated,2025-04-25,36-45,Savings Account,14,1806.55,0,0.0,1,9,Medium
CUST00147,Northeast,Paid Media,2025-06-01,Verified,Not Activated,,46-60,Savings Account,3,53.98,0,0.0,0,6,Medium
CUST00148,Northeast,Partner Network,2025-03-31,Verified,Activated,2025-04-02,36-45,Checking Account,14,2302.71,0,0.0,0,8,High
CUST00149,Midwest,Branch Referral,2025-11-21,Dropped,Not Activated,,60+,Savings Account,3,42.28,0,0.0,0,2,Medium
CUST00150,West,Mobile App,2025-05-19,Verified,Not Activated,,46-60,Savings Account,0,157.73,0,0.0,0,3,High
CUST00151,Midwest,Website,2025-07-10,Verified,Activated,2025-07-15,18-25,Checking Account,4,1307.13,0,0.0,0,28,Medium
CUST00152,Northeast,Paid Media,2025-09-08,Verified,Not Activated,,26-35,Savings Account,0,142.21,0,0.0,0,2,High
CUST00153,South,Mobile App,2025-06-12,Verified,Activated,2025-06-19,36-45,Checking Account,22,2104.27,0,0.0,0,17,Low
CUST00154,Northeast,Paid Media,2025-10-31,Verified,Activated,2025-11-08,46-60,Checking Account,2,4647.06,0,0.0,0,21,Medium
CUST00155,Northeast,Website,2025-12-31,Verified,Activated,2026-01-08,60+,Checking Account,29,2307.82,0,0.0,0,29,Low
CUST00156,Midwest,Paid Media,2025-08-03,Verified,Activated,2025-08-04,18-25,Checking Account,3,920.09,0,0.0,0,28,Medium
CUST00157,South,Mobile App,2025-04-23,Verified,Not Activated,,36-45,Credit Card,1,249.71,0,0.0,0,2,Medium
CUST00158,South,Partner Network,2025-04-02,Verified,Not Activated,,36-45,Credit Card,1,50.97,0,0.0,0,7,Medium
CUST00159,West,Partner Network,2025-12-09,Verified,Activated,2025-12-14,46-60,Credit Card,19,2847.81,0,0.0,0,20,Low
CUST00160,Midwest,Website,2025-09-05,Verified,Activated,2025-09-13,26-35,Savings Account,1,3820.77,0,0.0,1,13,Medium
CUST00161,South,Mobile App,2025-02-10,Verified,Activated,2025-02-12,18-25,Savings Account,0,861.45,0,0.0,0,26,Medium
CUST00162,West,Paid Media,2025-05-20,Dropped,Not Activated,,18-25,Savings Account,0,37.51,0,0.0,0,1,High
CUST00163,West,Website,2025-09-22,Verified,Activated,2025-09-30,26-35,Savings Account,1,1825.84,0,0.0,1,15,Medium
CUST00164,South,Paid Media,2025-06-10,Verified,Activated,2025-06-17,36-45,Credit Card,18,1303.27,1,860.21,0,11,Low
CUST00165,West,Partner Network,2025-06-01,Verified,Not Activated,,60+,Savings Account,2,3.01,0,0.0,0,7,High
CUST00166,South,Mobile App,2025-03-26,Verified,Activated,2025-04-05,36-45,Credit Card,19,852.54,0,0.0,0,20,Medium
CUST00167,Midwest,Website,2025-03-08,Verified,Activated,2025-03-17,60+,Savings Account,29,1175.94,0,0.0,0,11,Medium
CUST00168,West,Website,2025-02-05,Verified,Not Activated,,26-35,Credit Card,0,64.47,0,0.0,0,4,Low
CUST00169,South,Website,2025-02-24,Verified,Activated,2025-03-02,26-35,Savings Account,10,4243.93,0,0.0,0,8,High
CUST00170,South,Mobile App,2025-06-12,Verified,Activated,2025-06-14,36-45,Credit Card,20,332.13,0,0.0,0,12,Low
CUST00171,South,Mobile App,2025-06-10,Verified,Activated,2025-06-18,36-45,Savings Account,3,167.51,0,0.0,0,15,High
CUST00172,Midwest,Website,2025-05-24,Verified,Activated,2025-06-02,18-25,Checking Account,12,591.41,0,0.0,0,15,Medium
CUST00173,South,Mobile App,2025-01-09,Dropped,Not Activated,,36-45,Credit Card,2,111.23,0,0.0,0,0,Medium
CUST00174,Northeast,Website,2025-02-03,Verified,Not Activated,,26-35,Credit Card,3,118.72,0,0.0,0,5,Medium
CUST00175,South,Mobile App,2025-12-12,Verified,Not Activated,,60+,Checking Account,3,126.14,0,0.0,0,2,Medium
CUST00176,Midwest,Website,2025-05-31,Verified,Activated,2025-06-09,26-35,Credit Card,12,1080.9,0,0.0,0,16,Medium
CUST00177,Midwest,Website,2025-05-17,Verified,Not Activated,,26-35,Checking Account,1,142.99,0,0.0,0,3,Low
CUST00178,Midwest,Mobile App,2025-05-06,Verified,Not Activated,,46-60,Savings Account,3,151.63,0,0.0,0,7,High
CUST00179,Northeast,Website,2025-06-28,Verified,Activated,2025-07-02,18-25,Checking Account,2,1396.41,0,0.0,0,28,Medium
CUST00180,Northeast,Mobile App,2025-05-03,Verified,Activated,2025-05-06,26-35,Savings Account,10,539.68,1,787.19,0,15,High
CUST00181,South,Website,2025-05-09,Verified,Not Activated,,46-60,Savings Account,3,223.88,0,0.0,0,5,Medium
CUST00182,West,Mobile App,2025-10-22,Verified,Activated,2025-10-24,46-60,Credit Card,1,3873.92,0,0.0,0,19,Low
CUST00183,Northeast,Website,2025-11-09,Verified,Activated,2025-11-18,26-35,Savings Account,12,4409.12,0,0.0,0,28,Low
CUST00184,South,Website,2025-06-05,Verified,Activated,2025-06-12,36-45,Savings Account,16,2125.7,0,0.0,0,22,Medium
CUST00185,West,Paid Media,2025-12-20,Verified,Not Activated,,36-45,Savings Account,1,65.86,0,0.0,0,4,High
CUST00186,Northeast,Branch Referral,2025-05-20,Verified,Activated,2025-05-28,18-25,Credit Card,2,681.52,0,0.0,0,22,Medium
CUST00187,South,Paid Media,2025-04-06,Verified,Not Activated,,18-25,Checking Account,1,113.84,0,0.0,0,6,Low
CUST00188,Northeast,Partner Network,2025-12-03,Verified,Activated,2025-12-11,26-35,Credit Card,12,1031.22,0,0.0,0,18,Low
CUST00189,Northeast,Branch Referral,2025-09-15,Verified,Not Activated,,36-45,Savings Account,3,219.07,0,0.0,0,5,Medium
CUST00190,Midwest,Mobile App,2025-11-14,Verified,Activated,2025-11-20,26-35,Checking Account,20,3172.07,0,0.0,0,13,Low
CUST00191,Midwest,Branch Referral,2025-12-31,Dropped,Not Activated,,36-45,Credit Card,3,14.68,0,0.0,0,4,High
CUST00192,Northeast,Branch Referral,2025-12-27,Verified,Not Activated,,46-60,Savings Account,3,157.24,0,0.0,0,6,High
CUST00193,Northeast,Branch Referral,2025-07-11,Verified,Activated,2025-07-20,46-60,Savings Account,0,1761.22,0,0.0,0,12,Low
CUST00194,South,Mobile App,2025-06-30,Verified,Activated,2025-07-09,60+,Savings Account,6,1565.71,0,0.0,0,14,Low
CUST00195,South,Partner Network,2025-11-25,Verified,Activated,2025-11-26,26-35,Credit Card,2,2656.4,0,0.0,0,15,High
CUST00196,Northeast,Website,2025-08-14,Verified,Activated,2025-08-24,26-35,Savings Account,3,2531.81,0,0.0,1,24,Low
CUST00197,Northeast,Mobile App,2025-01-10,Verified,Activated,2025-01-15,26-35,Credit Card,12,2944.15,0,0.0,0,18,Low
CUST00198,South,Paid Media,2025-09-26,Verified,Activated,2025-10-01,36-45,Checking Account,20,3666.62,0,0.0,0,9,Low
CUST00199,West,Mobile App,2025-12-28,Verified,Activated,2026-01-06,18-25,Savings Account,14,2188.6,0,0.0,0,20,Low
CUST00200,Northeast,Paid Media,2025-11-21,Dropped,Not Activated,,26-35,Savings Account,3,171.3,0,0.0,0,0,High
CUST00201,Midwest,Website,2025-05-14,Verified,Activated,2025-05-23,26-35,Savings Account,26,3050.39,0,0.0,0,29,Low
CUST00202,Northeast,Mobile App,2025-11-06,Dropped,Not Activated,,46-60,Savings Account,1,17.97,0,0.0,0,5,Medium
CUST00203,South,Partner Network,2025-07-24,Verified,Activated,2025-07-25,26-35,Savings Account,18,3982.13,0,0.0,0,21,Medium
CUST00204,South,Mobile App,2025-03-16,Verified,Not Activated,,60+,Savings Account,0,104.23,0,0.0,0,2,Medium
CUST00205,South,Mobile App,2025-02-09,Verified,Not Activated,,18-25,Credit Card,3,225.07,0,0.0,0,0,High
CUST00206,South,Paid Media,2025-11-05,Verified,Activated,2025-11-12,36-45,Checking Account,5,2978.86,0,0.0,0,29,Medium
CUST00207,Northeast,Mobile App,2025-05-19,Verified,Activated,2025-05-29,36-45,Checking Account,14,2956.59,0,0.0,0,16,Medium
CUST00208,South,Branch Referral,2025-03-11,Verified,Activated,2025-03-18,36-45,Checking Account,25,4377.64,0,0.0,0,19,Low
CUST00209,South,Paid Media,2025-03-08,Verified,Activated,2025-03-11,36-45,Checking Account,25,3644.27,0,0.0,0,27,Low
CUST00210,Northeast,Website,2025-10-13,Verified,Activated,2025-10-15,36-45,Credit Card,6,4097.08,0,0.0,0,15,Medium
CUST00211,South,Partner Network,2025-07-29,Dropped,Not Activated,,18-25,Checking Account,0,130.54,0,0.0,0,5,High
